,基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%)
2015-12,0.31,0.0,0.0,365431.0,98316.0,59210.0,-341.0,102.0,59312.0,41675.0,41766.0,-30366.0,47660.0,1270350.0,1047066.0,820838.0,425839.0,439308.0,9.77
2016-03,0.04,0.0,0.0,38249.0,13716.0,5837.0,-482.0,13.0,5850.0,4881.0,4873.0,52440.0,1750.0,1278112.0,1040924.0,823702.0,377167.0,444093.0,1.11
2016-06,0.08,0.0,0.0,86869.0,29181.0,14095.0,-985.0,178.0,14272.0,10209.0,10078.0,109642.0,16409.0,1312301.0,1074016.0,868515.0,438780.0,433186.0,2.3
2016-09,0.08,0.0,0.0,114571.0,38054.0,16190.0,-1182.0,186.0,16376.0,11448.0,11338.0,151677.0,49525.0,1395764.0,1154162.0,950529.0,523220.0,434502.0,2.6
2016-12,0.58,0.0,0.0,335883.0,77323.0,91072.0,46256.0,1368.0,92440.0,77858.0,76487.0,170843.0,97104.0,1317039.0,1108248.0,804051.0,455462.0,500514.0,16.56
2017-03,0.08,0.0,0.0,116791.0,21129.0,15267.0,381.0,-83.0,15183.0,10386.0,10474.0,3261.0,69081.0,1326550.0,1125901.0,802303.0,575008.0,510900.0,2.05
2017-06,0.18,0.0,0.0,186960.0,45799.0,35813.0,846.0,-53.0,35760.0,24961.0,24964.0,79947.0,88715.0,1301215.0,1101317.0,786197.0,622431.0,501175.0,4.87
2017-09,0.25,0.0,0.0,231926.0,61811.0,47011.0,1615.0,-74.0,46937.0,33914.0,33943.0,107866.0,109844.0,1322269.0,1116879.0,798221.0,673339.0,510128.0,6.66
2017-12,0.6,0.0,0.0,295945.0,79779.0,96184.0,43681.0,-161.0,96023.0,80564.0,80446.0,70688.0,23819.0,1313993.0,1058326.0,743257.0,635566.0,556777.0,15.24
2018-03,0.21,0.0,0.0,48506.0,10264.0,29840.0,25294.0,31.0,29871.0,28621.0,28588.0,-14979.0,-205047.0,1113275.0,834057.0,513892.0,392121.0,585398.0,5.01
2018-06,0.31,0.0,0.0,105559.0,35184.0,51141.0,26412.0,99.0,51241.0,41597.0,41458.0,-2124.0,-94563.0,1209422.0,928872.0,618176.0,448169.0,573939.0,7.2
2018-09,0.37,0.0,0.0,159389.0,53938.0,63858.0,26837.0,137.0,63995.0,50324.0,50143.0,68259.0,-45199.0,1246334.0,963907.0,645499.0,481526.0,582667.0,8.77
